Boolean_comments_disabled;Boolean_ratings_disabled;Boolean_video_error_or_removed;Contain digits_channel_title;Contain digits_description;Contain digits_tags;Contain digits_title;Letters counter_channel_title;Letters counter_description;Letters counter_tags;Letters counter_title;Number of objects_thumbnail_link;Upload day_publish_time;With special characters_channel_title;With special characters_description;With special characters_tags;With special characters_title;Words counter_channel_title;Words counter_description;Words counter_tags;Words counter_title;
"0";"0";"0";"0";"0";"0";"0";"1";"82";"16";"4";"2";"5";"0";"0";"0";"0";"0";"7";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"126";"27";"5";"2";"3";"0";"0";"0";"0";"0";"40";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"65";"35";"3";"1";"1";"0";"0";"0";"0";"0";"17";"3";"0";
"1";"0";"0";"0";"0";"0";"0";"1";"45";"15";"3";"2";"7";"0";"0";"0";"0";"0";"13";"1";"0";
"0";"0";"0";"0";"0";"0";"0";"0";"88";"29";"6";"1";"7";"0";"0";"0";"0";"0";"22";"4";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"57";"2";"9";"4";"5";"0";"0";"0";"0";"0";"12";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"143";"10";"5";"2";"3";"0";"0";"0";"0";"0";"23";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"112";"38";"2";"0";"3";"0";"0";"0";"0";"0";"34";"7";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"66";"49";"6";"1";"3";"0";"0";"0";"0";"0";"18";"9";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"90";"53";"8";"2";"1";"0";"0";"0";"0";"0";"55";"5";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"140";"13";"1";"3";"5";"0";"0";"0";"0";"0";"33";"2";"0";
"0";"0";"0";"0";"0";"0";"0";"3";"230";"53";"4";"1";"5";"0";"0";"0";"0";"1";"23";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"110";"42";"7";"1";"4";"0";"0";"0";"0";"0";"38";"9";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"10";"37";"4";"3";"2";"0";"0";"0";"0";"0";"3";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"50";"6";"6";"3";"1";"0";"0";"0";"0";"0";"8";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"54";"25";"4";"4";"3";"0";"0";"0";"0";"0";"14";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"61";"41";"3";"0";"1";"0";"0";"0";"0";"0";"19";"3";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"17";"46";"9";"1";"2";"0";"0";"0";"0";"0";"6";"9";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"46";"0";"7";"1";"1";"0";"0";"1";"0";"0";"6";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"16";"6";"3";"3";"5";"0";"0";"0";"0";"0";"6";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"125";"14";"4";"1";"7";"0";"0";"0";"0";"0";"24";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"93";"59";"3";"2";"6";"0";"0";"0";"0";"0";"19";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"98";"19";"6";"1";"4";"0";"0";"0";"0";"0";"24";"2";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"196";"48";"5";"1";"6";"0";"0";"0";"0";"0";"57";"6";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"60";"29";"3";"1";"2";"0";"0";"0";"0";"0";"18";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"3";"76";"26";"4";"3";"1";"0";"0";"0";"0";"0";"19";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"66";"23";"6";"3";"2";"0";"0";"0";"0";"0";"19";"3";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"209";"4";"6";"1";"2";"0";"0";"0";"0";"0";"59";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"35";"13";"6";"1";"3";"0";"0";"0";"0";"0";"11";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"150";"34";"6";"0";"3";"0";"0";"0";"0";"0";"31";"6";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"95";"17";"2";"1";"7";"0";"0";"0";"0";"0";"25";"2";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"63";"19";"4";"4";"2";"0";"0";"0";"0";"0";"16";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"42";"5";"3";"3";"3";"0";"0";"0";"0";"0";"10";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"40";"56";"2";"1";"3";"0";"0";"0";"0";"0";"8";"3";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"136";"13";"4";"1";"1";"0";"0";"0";"0";"0";"36";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"68";"31";"2";"2";"1";"0";"0";"0";"0";"0";"20";"7";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"47";"20";"3";"1";"6";"0";"0";"0";"0";"0";"12";"2";"1";
"0";"0";"0";"0";"0";"0";"1";"1";"34";"24";"4";"2";"7";"0";"0";"0";"0";"0";"9";"3";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"268";"44";"3";"2";"5";"0";"0";"0";"0";"0";"80";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"58";"51";"9";"1";"2";"0";"0";"0";"0";"0";"10";"6";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"59";"32";"7";"2";"3";"0";"0";"0";"0";"0";"13";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"91";"13";"5";"3";"3";"0";"0";"0";"0";"0";"25";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"50";"17";"4";"1";"2";"0";"0";"0";"0";"0";"12";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"41";"19";"3";"2";"3";"0";"0";"0";"0";"0";"8";"3";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"62";"44";"6";"1";"3";"0";"0";"0";"0";"0";"15";"5";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"60";"8";"4";"5";"3";"0";"0";"0";"0";"0";"22";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"115";"50";"7";"3";"3";"0";"0";"0";"0";"0";"36";"11";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"86";"48";"5";"4";"7";"0";"0";"0";"0";"0";"23";"10";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"97";"41";"4";"1";"6";"0";"0";"0";"0";"0";"16";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"106";"35";"2";"0";"5";"0";"0";"0";"0";"0";"28";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"422";"49";"7";"2";"1";"0";"0";"0";"0";"0";"133";"7";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"101";"40";"5";"2";"2";"0";"0";"0";"0";"0";"26";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"136";"48";"6";"3";"2";"0";"0";"0";"0";"0";"42";"2";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"208";"48";"3";"4";"1";"0";"0";"0";"0";"0";"46";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"118";"41";"5";"1";"4";"0";"0";"0";"0";"0";"27";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"96";"53";"5";"1";"5";"0";"0";"0";"0";"0";"29";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"100";"19";"3";"3";"5";"0";"0";"0";"0";"0";"29";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"85";"46";"7";"1";"2";"0";"0";"0";"0";"0";"18";"6";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"143";"32";"3";"1";"5";"0";"0";"0";"0";"0";"31";"8";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"135";"20";"3";"4";"4";"0";"0";"0";"0";"0";"39";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"20";"46";"3";"4";"3";"0";"1";"0";"0";"0";"4";"7";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"62";"12";"3";"2";"3";"0";"0";"0";"0";"0";"15";"1";"0";
"0";"0";"0";"0";"0";"0";"0";"0";"55";"8";"4";"2";"3";"0";"1";"0";"0";"0";"8";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"34";"7";"4";"1";"5";"1";"0";"1";"1";"0";"12";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"211";"16";"2";"0";"6";"0";"0";"0";"0";"0";"39";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"137";"54";"4";"1";"4";"0";"0";"0";"0";"0";"27";"5";"1";
"0";"0";"0";"0";"0";"0";"1";"0";"113";"52";"2";"2";"2";"0";"0";"0";"0";"0";"31";"6";"0";
"0";"0";"0";"0";"0";"0";"0";"0";"59";"10";"1";"0";"4";"0";"0";"0";"0";"0";"13";"0";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"137";"13";"5";"2";"3";"0";"0";"0";"0";"0";"32";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"3";"60";"51";"5";"2";"3";"0";"0";"0";"0";"1";"11";"8";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"83";"54";"7";"2";"3";"0";"0";"0";"0";"0";"16";"0";"2";
"0";"0";"0";"0";"0";"0";"1";"1";"26";"24";"2";"2";"1";"0";"0";"0";"0";"0";"6";"3";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"76";"43";"7";"2";"1";"0";"0";"0";"0";"0";"22";"14";"3";
"0";"0";"0";"0";"0";"0";"0";"0";"158";"55";"6";"1";"6";"0";"0";"0";"0";"0";"44";"5";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"83";"52";"3";"2";"5";"0";"0";"0";"0";"0";"22";"7";"0";
"0";"0";"0";"0";"0";"0";"0";"0";"28";"10";"3";"2";"6";"0";"0";"0";"0";"0";"8";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"159";"15";"4";"1";"5";"0";"0";"0";"0";"0";"35";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"128";"25";"3";"2";"3";"0";"0";"0";"0";"0";"33";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"113";"41";"6";"1";"3";"0";"0";"0";"0";"0";"31";"6";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"104";"10";"1";"2";"4";"0";"0";"0";"0";"0";"17";"0";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"11";"38";"3";"1";"1";"0";"0";"0";"0";"0";"3";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"75";"32";"6";"2";"1";"0";"0";"0";"0";"0";"18";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"34";"27";"9";"3";"5";"0";"0";"0";"0";"0";"12";"2";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"0";"16";"2";"1";"6";"0";"0";"0";"0";"0";"0";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"41";"11";"4";"2";"2";"0";"0";"0";"0";"0";"10";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"41";"21";"6";"4";"2";"0";"0";"0";"0";"0";"11";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"25";"47";"5";"2";"2";"0";"0";"0";"0";"0";"7";"6";"1";
"1";"0";"0";"0";"0";"0";"0";"0";"11";"7";"5";"1";"3";"0";"0";"0";"0";"0";"3";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"170";"32";"6";"0";"1";"0";"0";"0";"0";"0";"75";"4";"1";
"0";"0";"0";"0";"0";"0";"1";"0";"206";"45";"4";"1";"6";"0";"0";"0";"0";"0";"50";"7";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"57";"46";"5";"2";"5";"0";"0";"0";"0";"0";"13";"11";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"124";"41";"5";"1";"4";"0";"0";"0";"0";"0";"24";"3";"1";
"0";"0";"0";"0";"0";"0";"1";"1";"69";"40";"3";"5";"3";"0";"0";"0";"0";"0";"16";"3";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"127";"50";"5";"2";"2";"0";"0";"0";"0";"0";"35";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"107";"41";"6";"2";"3";"0";"0";"0";"0";"0";"27";"6";"2";
"0";"0";"0";"0";"0";"1";"0";"0";"28";"50";"5";"1";"2";"0";"0";"0";"0";"0";"7";"5";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"114";"54";"5";"3";"3";"0";"0";"0";"0";"0";"31";"4";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"339";"50";"3";"0";"7";"0";"0";"0";"0";"0";"96";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"228";"32";"3";"0";"4";"0";"0";"0";"0";"0";"62";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"63";"48";"3";"2";"1";"0";"0";"0";"0";"0";"15";"5";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"44";"11";"4";"3";"3";"0";"0";"0";"0";"0";"9";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"348";"18";"6";"2";"3";"0";"0";"0";"0";"0";"99";"3";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"22";"23";"6";"1";"3";"0";"0";"0";"0";"0";"5";"3";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"36";"3";"6";"1";"5";"0";"0";"0";"0";"0";"6";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"248";"41";"9";"2";"2";"0";"0";"0";"0";"0";"88";"6";"3";
"0";"0";"0";"0";"0";"0";"0";"0";"27";"27";"6";"2";"2";"0";"0";"0";"0";"0";"5";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"92";"7";"6";"2";"3";"0";"0";"0";"0";"0";"20";"1";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"147";"11";"4";"4";"3";"0";"0";"0";"0";"0";"20";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"51";"40";"2";"4";"3";"0";"1";"0";"0";"0";"7";"1";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"110";"16";"3";"1";"7";"0";"0";"0";"0";"0";"35";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"23";"21";"5";"2";"4";"0";"0";"0";"0";"0";"5";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"48";"5";"4";"0";"5";"0";"1";"0";"0";"0";"12";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"105";"5";"4";"2";"2";"0";"0";"0";"0";"0";"31";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"11";"14";"4";"1";"1";"0";"0";"0";"0";"0";"4";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"187";"3";"4";"1";"1";"0";"0";"0";"0";"0";"56";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"33";"32";"5";"2";"5";"0";"0";"0";"0";"0";"10";"4";"1";
"1";"0";"0";"0";"0";"0";"0";"2";"17";"8";"4";"1";"5";"0";"0";"0";"0";"0";"5";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"3";"80";"9";"7";"3";"4";"0";"0";"0";"0";"1";"17";"1";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"68";"33";"8";"4";"1";"0";"0";"0";"0";"0";"17";"8";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"135";"20";"1";"2";"3";"0";"0";"0";"0";"0";"40";"2";"0";
"0";"0";"0";"0";"1";"0";"0";"0";"487";"21";"2";"1";"6";"0";"0";"0";"0";"0";"104";"1";"0";
"0";"0";"0";"0";"0";"0";"1";"0";"11";"37";"4";"4";"7";"0";"0";"0";"0";"0";"3";"7";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"47";"4";"2";"2";"7";"0";"0";"0";"0";"0";"6";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"66";"30";"2";"5";"5";"0";"0";"0";"0";"0";"16";"3";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"83";"39";"5";"2";"6";"0";"0";"0";"0";"0";"23";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"125";"42";"3";"2";"4";"0";"0";"0";"0";"0";"34";"3";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"104";"13";"3";"1";"6";"0";"0";"0";"0";"0";"15";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"80";"27";"2";"1";"5";"0";"0";"0";"0";"0";"20";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"63";"26";"7";"1";"2";"0";"0";"0";"0";"0";"15";"3";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"19";"11";"4";"1";"3";"0";"0";"0";"0";"0";"6";"0";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"125";"31";"2";"3";"2";"0";"0";"0";"1";"0";"29";"0";"0";
"0";"0";"0";"0";"0";"0";"0";"3";"144";"51";"6";"4";"3";"0";"0";"0";"0";"1";"35";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"3";"293";"52";"6";"2";"1";"0";"0";"0";"0";"1";"92";"6";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"56";"36";"6";"2";"1";"0";"0";"0";"0";"0";"13";"4";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"252";"10";"4";"4";"5";"0";"0";"0";"0";"0";"74";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"27";"43";"3";"3";"5";"0";"0";"0";"0";"0";"7";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"23";"4";"4";"2";"5";"0";"0";"0";"0";"0";"5";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"2";"131";"5";"4";"1";"5";"0";"0";"0";"0";"0";"34";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"164";"52";"8";"2";"1";"0";"0";"0";"0";"0";"29";"4";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"135";"48";"5";"2";"6";"0";"0";"0";"0";"0";"40";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"80";"21";"2";"2";"6";"0";"0";"0";"0";"0";"23";"1";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"125";"29";"7";"1";"5";"0";"0";"0";"0";"0";"26";"3";"2";
"0";"0";"0";"0";"0";"0";"0";"2";"153";"50";"5";"0";"4";"0";"0";"0";"0";"0";"31";"11";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"13";"14";"4";"1";"2";"0";"0";"0";"0";"0";"5";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"32";"10";"5";"2";"3";"0";"0";"0";"0";"0";"8";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"125";"24";"4";"2";"2";"0";"0";"0";"0";"0";"34";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"343";"14";"9";"2";"4";"0";"0";"0";"0";"0";"97";"1";"3";
"0";"0";"0";"0";"0";"0";"0";"2";"73";"34";"7";"3";"4";"0";"0";"0";"0";"0";"22";"2";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"84";"33";"3";"3";"2";"0";"0";"0";"0";"0";"22";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"23";"48";"4";"1";"1";"0";"0";"0";"0";"0";"5";"8";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"226";"18";"2";"0";"1";"0";"0";"0";"0";"0";"42";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"197";"0";"2";"1";"1";"0";"0";"1";"0";"0";"55";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"45";"51";"5";"0";"6";"0";"0";"0";"0";"0";"6";"6";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"55";"26";"3";"1";"5";"0";"0";"0";"0";"0";"16";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"48";"6";"3";"1";"4";"0";"1";"0";"0";"0";"14";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"116";"45";"5";"2";"4";"0";"0";"0";"0";"0";"32";"8";"2";
"0";"0";"0";"0";"0";"1";"1";"1";"96";"10";"3";"2";"5";"0";"0";"0";"0";"0";"23";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"3";"25";"15";"3";"1";"4";"0";"1";"0";"0";"0";"5";"1";"1";
"0";"0";"0";"0";"0";"0";"1";"0";"72";"34";"6";"1";"2";"0";"0";"0";"0";"0";"13";"6";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"77";"21";"2";"3";"3";"0";"0";"0";"0";"0";"21";"2";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"168";"46";"2";"1";"3";"0";"0";"0";"0";"0";"57";"10";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"5";"51";"6";"1";"1";"0";"0";"0";"0";"0";"0";"8";"2";
"0";"0";"0";"0";"0";"0";"0";"0";"130";"26";"2";"3";"1";"0";"0";"0";"0";"0";"44";"3";"0";
"0";"0";"0";"0";"0";"0";"0";"0";"66";"0";"6";"1";"1";"0";"0";"1";"0";"0";"20";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"49";"10";"9";"2";"6";"0";"0";"0";"0";"0";"15";"1";"3";
"0";"0";"0";"0";"0";"0";"0";"1";"54";"0";"6";"0";"5";"0";"0";"1";"0";"0";"11";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"85";"7";"3";"3";"3";"0";"0";"0";"0";"0";"19";"0";"1";
"0";"0";"0";"0";"0";"0";"0";"1";"43";"21";"2";"2";"3";"0";"0";"0";"0";"0";"12";"4";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"140";"3";"2";"0";"1";"0";"0";"0";"0";"0";"39";"0";"0";
"0";"0";"0";"0";"0";"0";"0";"0";"22";"8";"5";"0";"1";"0";"0";"0";"0";"0";"5";"1";"1";
"0";"0";"0";"0";"0";"0";"0";"0";"10";"35";"1";"1";"1";"0";"0";"0";"0";"0";"3";"4";"0";
"0";"0";"0";"0";"0";"0";"0";"1";"85";"28";"4";"2";"2";"0";"0";"0";"0";"0";"25";"2";"2";
"0";"0";"0";"0";"0";"0";"0";"1";"96";"28";"4";"1";"2";"0";"0";"0";"0";"0";"27";"7";"1";
